id,Nome,Description
2137,Knight Helm,"Helm of a lower-rank knight. Despite the thin metal used, the grooved texture gives it added protection."
2138,Knight Armor,"Armor of a lower-rank knight. Despite the thin metal used, the grooved texture gives it added protection."
2139,Knight Gauntlets,"Gauntlets of a lower-rank knight. Despite the thin metal used, the grooved texture gives them added protection."
2140,Knight Leggings,"Leggings of a lower-rank knight. Despite the thin metal used, the grooved texture gives them added protection."
2141,Dingy Hood,"Worn by the Fire Keeper at Firelink Shrine.  It is thought to have once been the white hood of a maiden, but smoke and ashes from bonfires have darkened it over the years."
2142,Dingy Robe,"Worn by the Fire Keeper at Firelink Shrine.  It is thought to have once been the white robe of a maiden, but smoke and ashes from bonfires have darkened it over the years."
2143,Dingy Gloves,"Worn by the Fire Keeper at Firelink Shrine.  They are thought to have once been the white gloves of a maiden, but smoke and ashes from bonfires have darkened them over the years."
2144,Blood-Stained Skirt,"Worn by the Fire Keeper at Firelink Shrine.  It is thought to have once been the white skirt of a maiden, but its true origin is lost in patches of blood. Perhaps its former wearer was maimed to prevent escape?"
2145,Maiden Hood,"White hood worn by traveling maidens. It is part of their formal attire, regardless of rank.  It is soft and well-made, but does not offer much in the way of defense, making it ill- suited to use in battle."
2146,Maiden Robe,"White robe worn by traveling maidens. It is part of their formal attire, regardless of rank.  It is soft and well-made, but does not offer much in the way of defense, making it ill- suited to use in battle."
2147,Maiden Gloves,"White gloves worn by traveling maidens. They are part of their formal attire, regardless of rank.  While soft and well-made, they do not offer much in the way of defense, making them ill-suited to use in battle."
2148,Maiden Skirt,"White skirt worn by traveling maidens. It is part of their formal attire, regardless of rank.  It is soft and well-made, but does not offer much in the way of defense, making it ill- suited to use in battle."
2149,Silver Knight Helm,"Helm of the Silver Knights who protect Anor Londo.  When Lord Gwyn departed to link the Fire, his knights split into two groups. The Silver Knights remained in the forsaken capital in the service of their goddess."
2150,Silver Knight Armor,"Armor of the Silver Knights who protect Anor Londo.  When Lord Gwyn departed to link the Fire, his knights split into two groups. The Silver Knights remained in the forsaken capital in the service of their goddess."
2151,Silver Knight Gauntlets,"Gauntlets of the Silver Knights who protect Anor Londo.  When Lord Gwyn departed to link the Fire, his knights split into two groups. The Silver Knights remained in the forsaken capital in the service of their goddess."
2152,Silver Knight Leggings,"Leggings of the Silver Knights who protect Anor Londo.  When Lord Gwyn departed to link the Fire, his knights split into two groups. The Silver Knights remained in the forsaken capital in the service of their goddess."
2153,Havel's Helm,"Helm worn by Havel the Rock's warriors. Carved from solid rock, its tremendous weight is matched only by the defense it provides.  Havel's warriors never flinched nor retreated from battle. Those unfortunate enough to face them were inevitably beaten to a pulp."
2154,Havel's Armor,"Armor worn by Havel the Rock's warriors. Carved from solid rock, its tremendous weight is matched only by the defense it provides.  Havel's warriors never flinched nor retreated from battle. Those unfortunate enough to face them were inevitably beaten to a pulp."
2155,Havel's Gauntlets,"Gauntlets worn by Havel the Rock's warriors. Carved from solid rock, their tremendous weight is matched only by the defense they provide.  Havel's warriors never flinched nor retreated from battle. Those unfortunate enough to face them were inevitably beaten to a pulp."
2156,Havel's Leggings,"Leggings worn by Havel the Rock's warriors. Carved from solid rock, their tremendous weight is matched only by the defense they provide.  Havel's warriors never flinched nor retreated from battle. Those unfortunate enough to face them were inevitably beaten to a pulp."
2157,Brass Helm,"Helm of the Darkmoon Knightess, Fire Keeper of Anor Londo.  After becoming Undead, she visited the Dark Sun Gwyndolin at the Mausoleum of the Spiral Depths, became a Blade of the Darkmoon, and assumed the flame-keeping duty. She received this helm, which hides her hideous form and helps her hunt the guilty."
2158,Brass Armor,"Armor of the Darkmoon Knightess, Fire Keeper of Anor Londo.  After becoming Undead, she visited the Dark Sun Gwyndolin at the Mausoleum of the Spiral Depths, became a Blade of the Darkmoon, and assumed the flame-keeping duty. She received this armor, which hides her hideous form and helps her hunt the guilty."
2159,Brass Gauntlets,"Gauntlets of the Darkmoon Knightess, Fire Keeper of Anor Londo.  After becoming Undead, she visited the Dark Sun Gwyndolin at the Mausoleum of the Spiral Depths, became a Blade of the Darkmoon, and assumed the flame-keeping duty. She received these gauntlets, which hide her hideous form and help her hunt the guilty."
2160,Brass Leggings,"Leggings of the Darkmoon Knightess, Fire Keeper of Anor Londo.  After becoming Undead, she visited the Dark Sun Gwyndolin at the Mausoleum of the Spiral Depths, became a Blade of the Darkmoon, and assumed the flame-keeping duty. She received these leggings, which hide her hideous form and help her hunt the guilty."
2161,Gold-Hemmed Black Hood,"Worn by the witch Quelana of Izalith, mother of pyromancy and Daughter of Chaos.  She wore this gold-hemmed black hood before even the Age of Fire, and it offers strong resistance versus fire, poison, and other perils."
2162,Gold-Hemmed Black Cloak,"Worn by the witch Quelana of Izalith, mother of pyromancy and Daughter of Chaos.  She wore this gold-hemmed black cloak before even the Age of Fire, and it offers strong resistance versus fire, poison, and other perils."
2163,Gold-Hemmed Black Gloves,"Worn by the witch Quelana of Izalith, mother of pyromancy and Daughter of Chaos.  She wore these gold-lined black gloves before even the Age of Fire, and they offer strong resistance versus fire, poison, and other perils."
2164,Gold-Hemmed Black Skirt,"Worn by the witch Quelana of Izalith, founder of pyromancy and one of the Daughters of Chaos.  She wore this gold-hemmed black skirt before even the Age of Fire, and it offers strong resistance versus fire, poison, and other perils."
2165,Golem Helm,"Head of the Iron Golem, guardian of the ancient Sen's Fortress, slayer of heroes who ventured forth to Anor Londo.  Without its core, it is a mere hunk of iron, and can be equipped as solid protective gear, but its immense weight hinders stamina recovery."
2166,Golem Armor,"Body of the Iron Golem, guardian of the ancient Sen's Fortress, slayer of heroes who ventured forth to Anor Londo.  Without its core, it is a mere hunk of iron, and can be equipped as solid protective gear, but its immense weight hinders stamina recovery."
2167,Golem Gauntlets,"Arms of the Iron Golem, guardian of the ancient Sen's Fortress, slayer of heroes who ventured forth to Anor Londo.  Without its core, they are mere hunks of iron, and can be equipped as solid protective gear, but their immense weight hinders stamina recovery."
2168,Golem Leggings,"Legs of the Iron Golem, guardian of the ancient Sen's Fortress, slayer of heroes who ventured forth to Anor Londo.  Without its core, they are mere hunks of iron, and can be equipped as solid protective gear, but their immense weight hinders stamina recovery."
2169,Hollow Soldier Helm,"Helm worn by Hollow soldiers. It may be old and battered, but its iron construction makes it quite sturdy.  It is wise to wear a sturdy form of head protection against arrows and other physical threats."
2170,Hollow Soldier Armor,"Armor worn by Hollow soldiers. It may be old and battered, but its iron construction makes it quite sturdy."
2171,Hollow Soldier Waistcloth,Waistcloth worn by Hollow soldiers. It is so tattered that it barely serves its purpose anymore.
2172,Steel Helm,"Helm of the Knights of Berenike, known for their heavy armaments and armor.  Countless Knights of Berenike, once extolled as the mightiest of mighty, became Undead and ventured to Lordran. But their journey was for naught, as they went Hollow, and became a threat to all Undead."
2173,Steel Armor,"Armor of the Knights of Berenike, known for their heavy armaments and armor.  Countless Knights of Berenike, once extolled as the mightiest of mighty, became Undead and ventured to Lordran. But their journey was for naught, as they went Hollow, and became a threat to all Undead."
2174,Steel Gauntlets,"Gauntlets of the Knights of Berenike, known for their heavy armaments and armor.  Countless Knights of Berenike, once extolled as the mightiest of mighty, became Undead and ventured to Lordran. But their journey was for naught, as they went Hollow, and became a threat to all Undead."
2175,Steel Leggings,"Leggings of the Knights of Berenike, known for their heavy armaments and armor.  Countless Knights of Berenike, once extolled as the mightiest of mighty, became Undead and ventured to Lordran. But their journey was for naught, as they went Hollow, and became a threat to all Undead."
2176,Hollow Thief's Hood,Hood worn by Hollow thieves. Used to hide a guilty countenance.
2177,Hollow Thief's Leather Armor,Leather armor worn by Hollow thieves. It stifles noise and helps its wearer hide in the shadows.
2178,Hollow Thief's Tights,Tights worn by Hollow thieves. They stifle noise and help their wearer hide in the shadows.
2179,Balder Helm,"Helm worn by the knights of the ancient kingdom of Balder. It is made from thick iron plates.  Balder was the homeland of the Knight King Rendal, but it came to ruin after a great many Undead were spawned."
2180,Balder Armor,"Armor worn by the knights of the ancient kingdom of Balder. It is made from thick iron plates.  Balder was the homeland of the Knight King Rendal, but it came to ruin after a great many Undead were spawned."
2181,Balder Gauntlets,"Gauntlets worn by the knights of the ancient kingdom of Balder. They are made from thick iron plates.  Balder was the homeland of the Knight King Rendal, but it came to ruin after a great many Undead were spawned."
2182,Balder Leggings,"Leggings worn by the knights of the ancient kingdom of Balder. They are made from thick iron plates.  Balder was the homeland of the Knight King Rendal, but it came to ruin after a great many Undead were spawned."
2183,Hollow Warrior Helm,"Helm worn by Hollow warriors. Although it is made of iron, it is old, battered and worn out.  It is wise to wear a sturdy form of head protection against arrows and other physical threats."
2184,Hollow Warrior Armor,Armor worn by Hollow warriors. It is made of thick leather that is tattered with age.
2185,Hollow Warrior Waistcloth,Waistcloth worn by Hollow warriors. It is so tattered that it barely serves its purpose anymore.
2186,Giant Helm,"Helm of the giant sentinels of Anor Londo.  Made from ancient brass, it also offers protection versus non-physical attacks, but due to its giant size, it is extremely heavy for humans, and impedes stamina recovery."
2187,Giant Armor,"Armor of the giant sentinels of Anor Londo.  Made from ancient brass, it also offers protection versus non-physical attacks, but due to its giant size, it is extremely heavy for humans, and impedes stamina recovery."
2188,Giant Gauntlets,"Gauntlets of the giant sentinels of Anor Londo.  Made from ancient brass, they also offer protection versus non-physical attacks, but due to their giant size, they are extremely heavy for humans, and impede stamina recovery."
2189,Giant Leggings,"Leggings of the giant sentinels of Anor Londo.  Made from ancient brass, they also offer protection versus non-physical attacks, but due to their giant size, they are extremely heavy for humans, and impede stamina recovery."
2190,Crown of the Dark Sun,"Crown of the Dark Sun Gwyndolin, protector of the forsaken city of Anor Londo.  This crown of the gods demands faith immeasurable of its wearer, but it is imbued with Darkmoon power that enhances all magic. The image of the sun manifests Gwyndolin's deep adoration of the sun."
2191,Moonlight Robe,"Robe of the Dark Sun Gwyndolin, protector of the forsaken city of Anor Londo.  The power of the moon was strong in Gwyndolin, and thus he was raised as a daughter. His magic garb is silk-thin, and hardly provides any physical defense."
2192,Moonlight Gloves,"Gloves of the Dark Sun Gwyndolin, protector of the forsaken city of Anor Londo.  The power of the moon was strong in Gwyndolin, and thus he was raised as a daughter. His magic garb is silk-thin, and hardly provides any physical defense."
2193,Moonlight Waistcloth,"Waistcloth of the Dark Sun Gwyndolin, protector of the forsaken city of Anor Londo.  The power of the moon was strong in Gwyndolin, and thus he was raised as a daughter. His magic garb is silk-thin, and hardly provides any physical defense."
2194,Crown of the Great Lord,"Crown of Gwyn, Lord of Cinder, who linked the First Flame.  Lord Gwyn, bearer of the ultimate soul, divided his power among his great clan before linking the flame. But he did keep his crown, perhaps to preserve a symbol of the monarch, for its actual power had fully subsided."
2195,Robe of the Great Lord,"Robe of Gwyn, Lord of Cinder, who linked the First Flame.  Lord Gwyn, bearer of the ultimate soul, divided that power among his clan before linking the flame. When he departed, he left only with his greatsword, his garb, and the crown, now bereft of power."
2196,Bracelet of the Great Lord,"Bracelets of Gwyn, Lord of Cinder, who linked the First Flame.  Lord Gwyn, bearer of the ultimate soul, divided that power among his clan before linking the flame. When he departed, he left only with his greatsword, his garb, and the crown, now bereft of power."
2197,Anklet of the Great Lord,"Anklets of Gwyn, Lord of Cinder, who linked the First Flame.  Lord Gwyn, bearer of the ultimate soul, divided that power among his clan before linking the flame. When he departed, he left only with his greatsword, his garb, and the crown, now bereft of power."
2198,Sack,"Bloodstained patchwork sack by the Undead man-eating cook lurking in the Depths. Two eyeholes have been haphazardly cut out.  It is unexpectedly soft and comfortable to wear, but it is probably near meaningless in terms of defense."
2199,Symbol of Avarice,"Monster head resembling a treasure chest. Once an ancient god, it is said this is the symbol of shame imposed on a long lost clan, exiled for the sin of avarice.  Wearing this slightly raises soul absorption and item discovery, but also affects its wearer with the curse of the branded."
2200,Royal Helm,"Helm of Vamos, skeleton blacksmith of the Catacombs. Partially made of gold, and confers high resistance overall.  The helm is believed to belong to an ancient royal line, but only Vamos would know for sure, and he shall never speak again."
2201,Mask of the Father,"One of the three masks of the Pinwheel, the necromancer who stole the power of the Gravelord, and reigns over the Catacombs.  This mask, belonging to the valiant father, slightly raises equipment load."
2202,Mask of the Mother,"One of the three masks of the Pinwheel, the necromancer who stole the power of the Gravelord, and reigns over the Catacombs.  This mask, belonging to the kindly mother, slightly raises HP."
2203,Mask of the Child,"One of the three masks of the Pinwheel, the necromancer who stole the power of the Gravelord, and reigns over the Catacombs.  This mask, belonging to the naive child, slightly raises stamina recovery speed."
2204,Fang Boar Helm,"Severed head of the fully-armored Fang Boar taken by the one who killed it as proof of his victory, just as the Gods once did with the head of the ancient dragon.  Can be worn on the head as a surprisingly sound piece of protective gear."
2205,Gargoyle Helm,"Helm of the gargoyle, an enchanted creature that guarded the Bell of Awakening in the belfry of the Undead Church.  This bronze helm was for mere appearance's sake, as gargoyle skin is naturally hard. Little in the way of defense can be expected from it."
2206,Black Sorcerer Hat,"Hat worn by the secret sorcerers at Vinheim Dragon School.  They secretly work with sound-based spells, and never reveal themselves."
2207,Black Sorcerer Cloak,"Cloak worn by the secret sorcerers at Vinheim Dragon School.  They secretly work with sound-based spells, and never reveal themselves."
2208,Black Sorcerer Gauntlets,"Gauntlets worn by the secret sorcerers at Vinheim Dragon School.  They secretly work with sound-based spells, and never reveal themselves."
2209,Black Sorcerer Boots,"Boots worn by the secret sorcerers at Vinheim Dragon School.  They secretly work with sound-based spells, and never reveal themselves."
2210,Helm of Artorias,"Helm of Artorias the Abysswalker, one of Gwyn's Four Knights.  The death of the helm's owner can be surmised from the corrosive Dark of the Abyss, and the musty azure-blue tassel, once a symbol of pride and glory."
2211,Armor of Artorias,"Armor of Artorias the Abysswalker, one of Gwyn's Four Knights.  The death of the armor's owner can be surmised from the corrosive Dark of the Abyss, and the tattered azure-blue cape, once a symbol of pride and glory."
2212,Gauntlets of Artorias,"Gauntlets of Artorias the Abysswalker, one of Gwyn's Four Knights.  The death of their owner can be surmised from the corrosive Dark of the Abyss, which has compromised their protective utility."
2213,Leggings of Artorias,"Leggings of Artorias the Abysswalker, one of Gwyn's Four Knights.  The death of their owner can be surmised from the corrosive Dark of the Abyss, which has compromised their protective utility."
2214,Porcelain Mask,"Mask of the Lord's Blade Ciaran, one of Gwyn's Four Knights.  The cyclops headpiece is common to all of the Lord's Blades, but Ciaran was determined to earn this soft porcelain mask as a unique decoration of honor. The mask is lined with ivory locks of hair."
2215,Lord's Blade Robe,"Robe of the Lord's Blade Ciaran, one of Gwyn's Four Knights.  A robe common to all of the Lord's Blades. These deadly women shift nimbly between layers of darkness, etching streaks of gold into the night air, and planting visions of terror into the minds of their targets."
2216,Lord's Blade Gloves,"Gloves worn by the Lord's Blade Ciaran, one of Gwyn's Four Knights.  Gloves common to all of the Lord's Blades. These deadly women shift nimbly between layers of darkness, etching streaks of gold into the night air, and planting visions of terror into the minds of their targets."
2217,Lord's Blade Waistcloth,"Waistcloth worn by the Lord's Blade Ciaran, one of Gwyn's Four Knights.  Waistcloth common to all the Lord's Blades. These deadly women shift nimbly between layers of darkness, etching streaks of gold into the night air, and planting visions of terror into the minds of their targets."
2218,Gough's Helm,"Helm of Hawkeye Gough, one of Gwyn's Four Knights. Received as a decoration of knightly honor.  A helm crafted especially for the honorable Hawkeye Gough, only the eye holes were packed with tree resin by those who dismissed Gough as a brutish giant."
2219,Gough's Armor,"Armor of Hawkeye Gough, one of Gwyn's Four Knights.  Armor donned by Gough since his days as a dragonslayer. The medallion, bequeathed by the Lord Himself, and the dragon bone pauldrons are symbols of the highest honors."
2220,Gough's Gauntlets,"Gauntlets of Hawkeye Gough, one of Gwyn's Four Knights.  Received as a decoration of honor. Crafted of similar material to the gauntlets worn by the Silver Knights."
2221,Gough's Leggings,"Leggings of Hawkeye Gough, one of Gwyn's Four Knights.  Received as a decoration of honor. Crafted of similar material to the gauntlets worn by the Silver Knights."
2222,Guardian Helm,"Helm of the stone knights, guardians of the forest sanctuary.  The stone knights are golems animated by magic, and their enchanted helms are oppressively heavy."
2223,Guardian Armor,"Armor of the stone knights, guardians of the forest sanctuary.  The stone knights are golems animated by magic, and their enchanted armor is oppressively heavy."
2224,Guardian Gauntlets,"Gauntlets of the stone knights, guardians of the forest sanctuary.  The stone knights are golems animated by magic, and their enchanted gauntlets are oppressively heavy."
2225,Guardian Leggings,"Leggings of the stone knights, guardians of the forest sanctuary.  The stone knights are golems animated by magic, and their enchanted leggings are oppressively heavy."
2226,Snickering Top Hat,"Black top hat worn by Marvellous Chester, a man of mystery lost in the past.  The wearer of this top hat cracks a dubious, permanent grin. The Curse of Chester!"
2227,Chester's Long Coat,"Black leather long coat hat worn by Marvellous Chester, a man of mystery lost in the past.  This exquisitely sewn aristocratic suit allows its wearer to move in silence, lending well to stealth."
2228,Chester's Gloves,"Leather gloves worn by Marvellous Chester, a man of mystery lost in the past.  These gloves have no distinguishing features, but are of extremely high quality."
2229,Chester's Trousers,"Black leather trousers worn by Marvellous Chester, a man of mystery lost in the past.  These exquisitely sewn trousers are decorated with silver trinkets of varying sizes, and have straps on the inner legs for carrying crossbow bolts."
2230,Bloated Head,"The head of an Oolacile resident whose humanity went wild after being devoured by the Dark of Manus, Father of the Abyss.  The bloated head is fissured, the cracks lined with innumerable tiny red eyeballs. With a hard outside and mucous-filled inside, no sane person could ever wear it."
2231,Bloated Sorcerer Head,"The head of an Oolacile resident whose humanity went wild after being devoured by the Dark of Manus, Father of the Abyss.  The bloated head is fissured, the cracks lined with innumerable tiny red eyeballs, and accented by protruding brain parts. It is lightly enchanted, suggesting that it may have belonged to a sorcerer."
3000,Havel's Ring,"This ring was named after Havel the Rock, Lord Gwyn's old battlefield compatriot.  Havel's men wore the ring to express faith in their leader and to carry a heavier load."
3001,Red Tearstone Ring,The rare gem called tearstone has the uncanny ability to sense imminent death.  This red tearstone from Carim boosts the attack of its wearer when in danger.
3002,Darkmoon Blade Covenant Ring,"Ring granted to those bound by the Darkmoon Blade covenant. Answer Dark Sun Gwyndolin's summoning.  Gwyndolin, all too aware of his repulsive, frail appearance, created the illusion of  a sister Gwynevere, who helps him guard over Anor Londo. An unmasking of these deities would be tantamount to blasphemy."
3003,Cat Covenant Ring,Ring granted to those bound by the Forest Hunter covenant. Answer Alvina's summoning.  The white cat Alvina speaks a human tongue and has lived since the early Age of Fire. Alvina was a trusted friend of Knight Artorias and the Great Wolf Sif.
3004,Cloranthy Ring,"This ancient ring, engraved with a large green flower, is of unknown origin.  Hastens the regeneration of stamina."
3005,Flame Stoneplate Ring,"Stoneplates, the symbol of a true knight, grant the strength to face various hardships.  The red stoneplate symbolizes fire, and boosts defence against flame."
3006,Thunder Stoneplate Ring,"Stoneplates, the symbol of a true knight, grant the strength to face various hardships.  The yellow stoneplate symbolizes thunder, and boosts defence against lightning."
3007,Spell Stoneplate Ring,"Stoneplates, the symbol of a true knight, grant the strength to face various hardships.  The blue stoneplate symbolizes souls, and boosts defence against magic."
3008,Speckled Stoneplate Ring,"Stoneplates, the symbol of a true knight, grant the strength to face various hardships.  The precious rare speckled stoneplate grants a small boost to defence against magic, flame, and lightning."
3009,Bloodbite Ring,"One of the infamous bite rings commissioned by Sir Arstor of Carim.  Despite the dreadful rumors surrounding its creation, this ring is an unmistakable asset, in its ability to help prevent bleeding."
3010,Poisonbite Ring,"One of the infamous bite rings commissioned by Sir Arstor of Carim.  Despite the dreadful rumors surrounding its creation, this ring is an unmistakable asset, in its ability to help prevent poison."
3011,Tiny Being's Ring,"Ring made of an ancient tiny red jewel. Grants small increase to HP.  Rings grant powers large and small. Their discovery, and effective use, can make one's journey easier."
3012,Cursebite Ring,"One of the infamous bite rings commissioned by Sir Arstor of Carim.  Despite the dreadful rumors surrounding its creation, this ring is an unmistakable asset, in its ability to help prevent curses."
3013,White Seance Ring,"A divine ring entrusted to the head bishop of the Way of White and apostle to Allfather Lloyd, uncle to Lord Gwyn. It grants additional attunement slots.  The head bishop of the Way of White is the guardian of law and caste, and one of the great royals of Thorolund."
3014,Bellowing Dragoncrest Ring,"A special ring granted to only the most accomplished sorcerers at Vinheim Dragon School.  The ring is engraved with an everlasting dragon, and boosts the strength of sorceries."
3015,Dusk Crown Ring,"This magic crown-shaped ring was granted to Princess Dusk of Oolacile upon her birth.  The ringstone allows its wearer to cast additional magics, but at the cost of one-half of HP."
3016,Hornet Ring,"One of the special rings granted to the four knights of Gwyn. The Hornet Ring belonged to the Lord's Blade Ciaran.  By boosting critical attacks, its wearer can annihilate foes, as Ciaran's dagger laid waste to Lord Gwyn's enemies."
3017,Hawk Ring,"One of the special rings granted to the four knights of Gwyn. The Hawk Ring belonged to Hawkeye Gough, who led the Greatarchers.  Boosts bow range, so that arrows fly like they were shot by Gough's great bow, which took down high-flying dragons."
3018,Ring of Steel Protection,"This ring belonged to the Knight King Rendal. It grants its wearer protection by boosting defense against physical attacks.  Of the many legends surrounding the Knight King Rendal, one of the more well-known speaks of his standing down a giant drake and slashing it to pieces."
3019,Covetous Gold Serpent Ring,"The serpent is an imperfect dragon and symbol of the Undead. Its habit of devouring prey even larger than itself has led to an association with gluttony.  This gold ring, engraved with the serpent, boosts its wearer's item discovery, so that more items can be amassed."
3020,Covetous Silver Serpent Ring,"The serpent is an imperfect dragon and symbol of the Undead. Its habit of devouring prey even larger than itself has led to an association with gluttony.  This silver ring, engraved with the serpent, rewards its wearer with additional souls for each kill."
3021,Slumbering Dragoncrest Ring,"This ring was secretly worn by a certain surreptitious sorcerer at Vinheim Dragon School.  The ring is engraved with an everlasting dragon in silent slumber, and masks all sound emitting from its wearer."
3022,Ring of Fog,"Those who befriend Alvina are given this mysterious ring. It resembles a pearl with its robust pure-white fog.  The ring camouflages its wearer's presence, helping to prevent detection."
3023,Rusted Iron Ring,"This iron ring was used to shackle the guilty. It is terribly rusted, and faintly stained with blood.  Those who find this strange ring to their liking will be pleased to find it easier to gain footing on poor ground such as swamps."
3024,Ring of Sacrifice,"This mystical ring was created in a sacrificial rite of Velka, the Goddess of Sin.  Its wearer will lose nothing upon death, but the ring itself breaks."
3025,Rare Ring of Sacrifice,"This mystical ring was created in a sacrificial rite of Velka, the Goddess of Sin. The magenta-shaded ring is especially rare.  Its wearer will lose nothing upon death, and will be freed from any curse whatsoever, but the ring itself breaks."
3026,Dark Wood Grain Ring,"This special ring crafted in an Eastern land is made of gold, but with a wood grain crest on its surface.  Agents of subterfuge in this faraway land are particularly fond of the dark gold wood grain, which greatly alters its wearer's rolling action."
3027,Ring of the Sun Princess,"This ring is granted to those who enter a Covenant with Gwynevere, daughter of Lord Gwyn and the Princess of Sunlight. This slightly warm ring boosts the synergy of miracles.  The Princess of Sunlight Gwynevere left Anor Londo along with many other deities, and later became wife to Flame God Flann."
3028,Old Witch's Ring,"Old ring from an old witch.  Engraved minutely with indecipherable script, but seemingly useless."
3029,Covenant of Artorias,"This ring symbolizes Knight Artorias's covenant with the beasts of the Abyss.  Its wearer, like Artorias himself, can traverse the Abyss."
3030,Orange Charred Ring,"An orange ring enchanted by a witch. Reduces lava damage.  Since his sores were inflamed by lava from birth, his witch sisters gave him this special ring. But fool that he is, he readily dropped it, and from that spot, a terrible centipede demon was born."
3031,Lingering Dragoncrest Ring,"A special ring granted to only the most accomplished sorcerers at Vinheim Dragon School.  The ring is engraved with a lingering dragon, and boosts the length of the effects of sorceries."
3032,Ring of the Evil Eye,"According to legend, this ring contains the spirit of the evil eye, a dark beast which assaulted Astora.  The strength of the evil eye does not waver, and HP is absorbed from fallen enemies."
3033,Ring of Favor and Protection,"A ring symbolizing the favor and protection of the goddess Fina, known in legend to possess ""fateful beauty.""  This ring boosts its wearer's HP, stamina, and max equipment load, but breaks if ever removed."
3034,Leo Ring,One of the special rings granted to the four knights of Gwyn. The Leo Ring belonged to Ornstein the Dragonslayer.  This ring strengthens counters with pierce weapons. His lugged spear is said to have sliced a boulder in two.
3035,East Wood Grain Ring,"This special ring crafted in an Eastern land is made of gold, but with a wood grain crest on its surface.  The ring slows the loss of weapon durability and is particularly useful to bearers of delicate swords crafted in the East."
3036,Wolf Ring,"One of the special rings granted to the four knights of Gwyn. The Wolf Ring belongs to Artorias the Abysswalker.  Artorias had an unbendable will of steel, and was unmatched with a greatsword."
3037,Blue Tearstone Ring,The rare gem called tearstone has the uncanny ability to sense imminent death.  This blue tearstone from Catarina boosts the defence of its wearer when in danger.
3038,Ring of the Sun's Firstborn,"Lord Gwyn's firstborn, who inherited the sunlight, once wore this ancient ring. Boosts the strength of miracles.  Lord Gwyn's firstborn was a god of war, but his foolishness led to a loss of the annals, and rescinding of his deific status. Today, even his name is not known."
3039,Darkmoon Seance Ring,"This ring is granted to adherents of Gwyndolin, Darkmoon deity and last born of Gwyn, Lord of Sunlight. Grants additional magic attunement slots.  The Dark Sun Gwyndolin is the only remaining deity in Anor Londo. His followers are few, but their tasks are of vital importance."
3040,Calamity Ring,"A ring enchanted by the orange eye of Kalameet, the bringer of calamity. Doubles damage received by its wearer.  A useless ring befitting of no finger. Best left unknown, or at least well hidden."
4000,Soul Arrow,"Elementary sorcery. Fire soul arrow.  Soul arrows inflict magic damage, making them effective against iron armor, tough scales, and other physically resilient materials."
4001,Great Soul Arrow,"Sorcery which improves upon Soul Arrow. Fire strong soul arrow.  At the Vinheim Dragon School, the acquisition of this spell marks an apprentice's coronation as a sorcerer."
4002,Heavy Soul Arrow,"Soul sorcery emphasizing power. Fire heavy soul arrow.  A more powerful, but also slower sorcery. Difficult to use due to a long cool down and a limitation on the number of castings."
4003,Great Heavy Soul Arrow,"Sorcery which improves upon Heavy Soul Arrow. Fire strong heavy soul arrow.  As difficult to use as Heavy Soul Arrow, but powerful enough to make it well worth it. Adored by certain sorcerers."
4004,Homing Soulmass,Sorcery developed by Big Hat Logan. Fire homing soulmass.  Life originates in the soul; no wonder the soulmass draws toward it. This sorcery is a window into seeker Logan's methods.
4005,Homing Crystal Soulmass,"Sorcery boosted by the knowledge Logan acquired at the Regal Archives. Fire homing crystal soulmass.  The mysteries of souls, crystals, and the sorceries are deeply intertwined."
4006,Soul Spear,"Sorcery developed by Big Hat Logan. Fire piercing soul spear.  A symbol of Logan's strength, the soul spear is referenced repeatedly in the legends, and is said to be on par with Lord Gwyn's lightning."
4007,Crystal Soul Spear,"Sorcery boosted by the knowledge Logan acquired at the Regal Archives. Fire piercing crystal soul spear.  These pale magic spears, sharpened through crystallization, are on par with the armaments of the ancient lords."
4008,Magic Weapon,Sorcery for casters who wield swords. Magic augmentation: right weapon.  The power of the magic swordsmen of Vinheim is predicated upon this and Magic Shield. Many warriors learn sorcery just for this.
4009,Great Magic Weapon,"Sorcery which improves upon Magic Weapon. High magic augmentation: right weapon.  At Vinheim Dragon School, only magic swordsmen on special orders are allowed to learn this spell which grants powerful augmentation to various weapons."
4010,Crystal Magic Weapon,"Sorcery boosted by the knowledge Logan acquired at the Regal Archives. High magic + crystallization: right weapon.  Logan's trials were successful, and the crystal medium facilitated a stronger bond between weapon and soul."
4011,Magic Shield,Sorcery for casters who wield swords. Magic augmentation: left shield.  Shields augmented by magic are resistant to magic attacks and have higher stability. This spell makes it possible to challenge powerful foes with a small shield.
4012,Strong Magic Shield,"Sorcery which improves upon Magic Shield. High magic augmentation: left shield.  At Vinheim Dragon School, only magic swordsmen on special orders are allowed to learn this spell which grants temporary strength to greatshields."
4013,Hidden Weapon,"Ancient sorcery of the lost land of Oolacile. Turns right weapon invisible.  Not a simple augmentation, making it dependent on the skill of its caster.  An example of the capacity of Oolacile sorceries to control light."
4014,Hidden Body,"Ancient sorcery of the lost land of Oolacile. Turns body nearly invisible.  Although perfect invisibility is unachievable due to the risk of dissipation, the caster need only stand still for a moment to blend in to environs with astounding camouflage."
4015,Cast Light,Ancient sorcery of the lost land of Oolacile. Cast a bright light upon surroundings.  This light-producing sorcery is elementary but nonetheless demonstrates the achievements in mysticism of Oolacile. Such magic has not been developed even in Vinheim.
