id,NPC,Action,Dialog
170022,Ingward,Upon being attacked-3rd time,Cease!
170023,Ingward,Upon being attacked-4th time,Stop that!
170024,Ingward,Upon being attacked & made hostile,"Sigh... You are no different from the rest... So be it! I am Ingward, the guardian of the seal. Prepare to meet your doom!"
170025,Ingward,Upon dying,Ohh...ogghh...How could I allow this... Forgive me...my countrymen...
180001,Kaathe,"Talk-1st time after defeating the Four Kings, after obtaining Lordvessel","Greetings, Undead warrior. I am the primordial serpent Darkstalker Kaathe. I can guide thee, and illuminate the truth. Undead Warrior, conqueror of the Four Kings; is this not your wish? To know the truth of men, and the Undead?"
180002,Kaathe,"Choose ""No"" to either the 1st or 2nd query",... ...Very well. Warriors as yourself are few. I will be patient. But I cannot wait forever...
180003,Kaathe,"Talk-After choosing ""No"" to either the 1st or 2nd query",What is it? Perhaps you have changed your mind?
180004,Kaathe,"Choose ""Yes"" to either the 1st or 2nd query","A wise choice, Undead warrior. Prove you must, that the truth becomes you. Seek Anor Londo. And claim Gwyn's heirloom, the Lordvessel. Now go, Undead warrior. Show the world that the truth becomes you."
180005,Kaathe,Talk-2nd time,"Ahh... If you wish, I shall grant the art of Lifedrain, the legendary power of the Dark Lord. It can preserve your humanity while Undead, and cast off the shackles placed upon your brethren."
180006,Kaathe,Talk-3rd time,"What is it? I am your guardian. Go on, state your wish."
180007,Kaathe,"Menu-Choose ""Talk"" before obtaining the Lordvessel","Undead warrior, To speak now is premature. It begins with your retrieval of the Lordvessel."
180008,Kaathe,Talk-After obtaining the Lordvessel,"Hmm...You are astonishing. The truth I shall share, without sentiment. After the advent of Fire, the ancient Lords found the three souls. But your progenitor found a fourth, unique soul. The Dark Soul. Your ancestor claimed the Dark Soul, and waited for Fire to subside. And soon, the flames did fade, and only Dark remained. Thus began the age of men, the Age of Dark. However... Lord Gwyn trembled at the Dark. Clinging to his Age of Fire, and in dire fear of humans, and the Dark Lord who would one day be born amongst them, Lord Gwyn resisted the course of nature. By sacrificing himself to link the Fire, and commanding his children to shepherd the humans, Gwyn has blurred your past, to prevent the birth of the Dark Lord. I am the primordial serpent. I seek to right the wrongs of the past, to discover our true Lord. But the other serpent, Frampt, lost his sense, and befriended Lord Gwyn. Undead Warrior, we stand at a crossroads. Only I know the truth about your fate. You must destroy the fading Lord Gwyn, who has coddled Fire and resisted nature, and become the Fourth Lord, so that you may usher in an Age of Dark!"
180009,Kaathe,"Talk-1st time after defeating the Four Kings, after obtaining Lordvessel","Greetings, Undead warrior. I am the primordial serpent Darkstalker Kaathe. I can guide thee, and illuminate the truth. The truth I shall share, without sentiment. After the advent of Fire, the ancient Lords found the three souls. But your progenitor found a fourth, unique soul. The Dark Soul. Your ancestor claimed the Dark Soul, and waited for Fire to subside. And soon, the flames did fade, and only Dark remained. Thus began the age of men, the Age of Dark. However... Lord Gwyn trembled at the Dark. Clinging to his Age of Fire, and in dire fear of humans, and the Dark Lord who would one day be born amongst them, Lord Gwyn resisted the course of nature. By sacrificing himself to link the Fire, and commanding his children to shepherd the humans, Gwyn has blurred your past, to prevent the birth of the Dark Lord. I am the primordial serpent. I seek to right the wrongs of the past, to discover our true Lord. But the other serpent, Frampt, lost his sense, and befriended Lord Gwyn. Undead Warrior, we stand at a crossroads. Only I know the truth about your fate. You must destroy the fading Lord Gwyn, who has coddled Fire and resisted nature, and become the Fourth Lord, so that you may usher in an Age of Dark!"
180010,Kaathe,"Choose ""No"" to the 3rd query","Nonsense! Are you mad! This is deplorable! You would rather be a slave? Does the truth mean nothing to you? This is unacceptable! Impossible! Unthinkable! ... ...Oh, enough with you. Farewell, pitiful, unknowing fool. I shall return to the Abyss, and await the true Lord of Men."
180011,Kaathe,"Choose ""Yes"" to the 3rd query","Very well! I shall now guide you to Gwyn's prison. Be still. Entrust thine flesh to me. This is Gwyn's prison. Now, place the Lordvessel upon the altar."
180012,Kaathe,Talk-Before placing Lordvessel in his presence,What is it? Place the Lordvessel upon the altar.
180013,Kaathe,Talk-After placing Lordvessel in his presence,"Very well. Once the vessel is filled with souls, the gate to Gwyn shall open. Seek Gravelord Nito, the Witch of Izalith, and the traitor Seath the Scaleless. Fill this vessel with their souls. Then, the gate will open...so that you may kill Gwyn. ... Are you ready? Then, let us return to the Abyss. Entrust thine flesh to me."
180014,Kaathe,"Menu-Choose ""Talk"" after placing the Lordvessel","They failed me, every last one of them. They were strong, but saw not the truth. ...I am certain that you will prove different."
180015,Kaathe,Talk-After filling Lordvessel in his presence,"Magnificent. You have followed my teachings faithfully. You are the true lord of men, the Dark Lord. Now, go forth, and rid us of that enfeebled Gwyn. I, Kaathe, shall await you here. When you return, I shall serve you, in the imminent Age of Dark. I shall serve you, in the imminent Age of Dark."
180016,Kaathe,"Menu-Choose ""Warp"" to be taken to the Abyss","Are you ready? Then, let us return to the Abyss. Entrust thine flesh to me."
180017,Kaathe,"Menu-Choose ""Warp"" to be taken to the Firelink Altar",Very well. Be still. Entrust thy flesh to me.
180018,Kaathe,"Menu-Choose ""Leave""",Farewell.
180019,Kaathe,Upon being attacked-1st time,Hmg!
180020,Kaathe,Upon being attacked-2nd time,Hrg!
180021,Kaathe,Upon being attacked-3rd time,Agh!
180022,Kaathe,Upon being attacked-4th time,Ooph!
180023,Kaathe,Upon being attacked-5th time,Stop!
180024,Kaathe,Upon being attacked-6th time,Enough!
180025,Kaathe,Upon being attacked & made hostile,"Fool! Fool...You could not be the Dark Lord. Enough of this...and farewell to you. I shall return to the Abyss, and await the true Lord of Men."
180026,Kaathe,Leaving Kiln of the First Flame after defeating Gwyn,"My Lord, bless thy safe return. Let Kaathe, and Frampt, serve Your Highness. We are here to serve Your Highness. Let true Dark be cast upon the world. Our Lord hath returned'st..."
190001,Laurentius,After approaching Laurentius' location,"...You ...Yes, you! ...Here, over here! ...Please... ...You must help me..."
190002,Laurentius,Talk-Before breaking the barrel to free him,"...Oh, there you are... ...You must help me... ...Or else... ...She'll have me for lunch! ...You're my only hope... ...Oh, please..."
190003,Laurentius,Talk-1st time after breaking the barrel to free him,"...Th-thank you. I would have been her supper without you. Being eaten alive! I shudder to think... Thank you, thank you dearly. I am Laurentius, of the Great Swamp. I will not forget my debt to you."
190004,Laurentius,Talk-2nd time after breaking the barrel to free him,"Oh, hello there. I'm fine, thanks to you."
190005,Laurentius,Upon being attacked-1st time,Whoa!
190006,Laurentius,Upon being attacked-2nd time,"It is I, Laurentius!"
190007,Laurentius,Upon being attacked-3rd time,What are you doing?!
190008,Laurentius,Upon being attacked-4th time,I have no bone to pick with you!
190009,Laurentius,Upon being attacked & made hostile,Curse the heavens! Are you mad! I owe my life to you! This is wrong! You were my friend!
190010,Laurentius,Upon dying,Curses...
190011,Laurentius,Talk-1st time,"Well, I see you made it out! Yeah, I made it out safely, too. I have my Pyromancy of the Great Swamp, so I can usually manage, with a bit of care. Oh, yeah, by the way, er, I can share my spells with you. I think you have a knack for it. All you need are the materials. I'd be pleased to help you. ...Ah, unless you find the magics unsavoury?"
190012,Laurentius,"Choose ""Yes"" to the 1st query","Oh, really...Well, that's a shame. But it is your choice. I'm on the fringe; yeah, I know. Undead or not, that's who I am. I only wish that I could have repaid you somehow."
190013,Laurentius,"Talk-After choosing ""Yes"" to the 1st query, or ""No"" after ""Yes"" to the 2nd","Oh, hello, there. I am pleased to see you safe. Oh, and er...if by chance you've had a change of heart, I'll be pleased to assist you by sharing my spells."
190014,Laurentius,"Choose ""No"" to the 1st query","Yeah, wonderful! I'm sure they'll be of some use, some assistance. Here, first, take this. A flame from the Great Swamp. Now you're a fully-fledged pyromancer. Why, let's get started right now."
190015,Laurentius,"Talk-After choosing ""No"" to the 1st query, or ""Yes"" after ""No"" to the 2nd","Oh, hello, there. I am pleased to see you safe. As always, if you provide the materials, I can teach you pyromancy."
190016,Laurentius,"Menu-Choose ""Talk"" 1st time","Pyromancy is the art of casting fire. Produce flame, then channel it; just as our ancestors did. A pyromancer must be in tune with nature herself. My home, the Great Swamp, is an abundant store of nature. You will understand, one day; it only takes time."
190017,Laurentius,"Menu-Choose ""Talk"" 2nd time","Pyromancy has a, well, rather primitive aspect to it. It meshes poorly with advanced culture, and pyromancers are considered rather unsavoury. Which is fine, as I never got along with anybody anyway. So, for me, turning Undead didn't change a thing! Hah hah hah hah."
190018,Laurentius,"Menu-Choose ""Talk"" 3rd time","A pyromancer's flame is a part of his own body. The flame develops right along with his skill. When I gave you that flame, I gave you a part of myself. Please take good care of it."
190019,Laurentius,"Menu-Choose ""Talk"" 3rd time, if chosen the Pyromancer class",A pyromancer's flame is a part of his own body. The flame develops right along with his skill. ...Sorry. You're a pyromancer yourself. You already know this.
190020,Laurentius,"Menu-Choose ""Talk"" 4rd time","My teacher, whom I imagine still resides in the Great Swamp, had a funny way of putting it. He said that ""Pyromancy is the ultimate fantasy.... ""We are born into Dark, and warmed by Fire, but this Fire we cannot touch."" ""Those whose fascination with Fire persists, learn to hold it in their own hand."" He rather had a way with words, the old withering frog!"
190021,Laurentius,"Menu-Choose ""Talk"" 5th time","In this land, pyromancers earn a certain respect. The Witch of Izalith, one of the legendary Lords, is the godmother of pyromancy. So, the day I became Undead, I was ecstatic. I felt as if I'd been chosen to attune myself to the ancient arts. ...Of course, it wasn't all that romantic in the end..."
190022,Laurentius,Talk-After attained a pyromancy Laurentius don't have,"Ah, hello, there. You've been a stranger these days. Why, what spectacular pyromancy. Tell me about it. I have never seen anything like it."
190023,Laurentius,"Choose ""No"" to the 3rd query","...I see. I suppose I was mistaken. In any case, I definitely trust you. Apologies, my friend. Forget that I said anything."
190024,Laurentius,"Choose ""Yes"" to the 3rd query","Why, yes, of course! Thank you for sharing. I'm still an able pyromancer. I shall locate her myself. I am in your debt, once again."
190025,Laurentius,"Menu-Choose ""Leave"" without purchasing something","Good-bye, then. Be safe, friend. Don't you dare go Hollow."
190026,Laurentius,"Menu-Choose ""Leave"" after purchasing something","Good-bye, then. Come back if you find anything new."
190027,Laurentius,After leaving abruptly,"Wait, friend! Where are you off to?"
190028,Laurentius,Talk-After leaving abruptly,That was rather abrupt. You are an odd one. Hah hah hah hah.
190029,Laurentius,Upon being attacked-1st time,Whoa!
190030,Laurentius,Upon being attacked-2nd time,What's wrong with you!
190031,Laurentius,Upon being attacked-3rd time,"Stop that, please!"
190032,Laurentius,Upon being attacked & made hostile,"You detest my pyromancy! That must be it! Then, I'll give you a taste of it! And it will not be pleasant, I assure you!"
190033,Laurentius,Upon dying,Aaahhhh...
200001,Lautrec,Talk-1st time before using the Mystery Key to open his cell,"Oh? Still human, are you? Then I am in luck. Could you help me? As you can see I am stuck, without recourse."
200002,Lautrec,Talk-2nd time before using the Mystery Key to open his cell,"Please, I have duties to fulfil, and I will reward you handsomely. Well? I am certain you stand to benefit."
200003,Lautrec,After leaving abruptly,Why! You! Do not run away! Hear me out!
200004,Lautrec,Talk-After leaving abruptly,"Ahh, you have come back. I beg of you. Help me."
200005,Lautrec,Talk-1st time after using the Mystery Key to open his cell,"Thank you, yes, sincerely. I am Knight Lautrec of Carim. I truly appreciate this, and I guarantee a reward, only later."
200006,Lautrec,Talk-2nd time after using the Mystery Key to open his cell,"Yes, very sorry, your reward will have to wait. I have just been freed. Allow me some time."
200007,Lautrec,Talk-3rd time after using the Mystery Key to open his cell,I am free. Now I can get back to work... Keh heh heh heh...
200008,Lautrec,"Talk-1st time without talking in the Undead Parish, or freeing him before",Hello...I don't think we've met. I am Knight Lautrec of Carim. We are both Undead. Perhaps we can help one another. Keh heh heh heh...
200009,Lautrec,"Talk-2nd time without talking in the Undead Parish, or freeing him before","Hmm, what business do you have? If you have none, then stay silent."
200010,Lautrec,"Talk-1st time after talking in the Undead Parish, without freeing him before",...You... How dare you come prancing about! I have nothing to say. Be gone from my sight.
200011,Lautrec,"Talk-2nd time after talking in the Undead Parish, without freeing him before",I have nothing to say. Be gone from my sight.
200012,Lautrec,Talk-1st time after using the Mystery Key to open his cell,"Ahh, hello there. I have your reward. Please accept it. I am grateful to you. For freeing me... Keh heh heh heh... ...Not enough for you? Well, let's not be greedy, now... Keh heh heh heh..."
200013,Lautrec,Talk-2nd time after using the Mystery Key to open his cell,"Hm, you again? What is it? Our futures are murky. Let's not be too friendly, now."
200014,Lautrec,Talk-1st time,"Well, where have you been? I am glad to see you are safe."
200015,Lautrec,Talk-2nd time,"Have you heard of Trusty Patches? If ever a man has rubbed me up the wrong way, ugh! If he ever comes around again, I swear, I'll have his hide."
200016,Lautrec,Talk-As a Hollow,"By the Lords...Your face... Hmmm... Your humanity is really slipping. But there are methods. Most fools have more humanity than they know what to do with. Now, who do you imagine will make the best use of it, hmm?"
200017,Lautrec,Talk-After ringing 1st Bell of Awakening,"Oh, hello. I'm considering a change of location... I have a rather, pressing matter to attend to up above. That Keeper has served me well, but...enough with her... Keh heh heh heh..."
200018,Lautrec,Talk-After Petrus returned to Firelink Shrine,"Ahh, you certainly are keeping busy. Care to pay for a useful tip?"
200019,Lautrec,"Choose ""No"" to spending souls","Oh, really? Well, suit yourself. Only trying to help."
200020,Lautrec,"Choose ""Yes"" to spending souls","A wise choice, indeed. Maiden Thorolund and her followers recently arrived in this land, but she became stranded deep below the Catacombs. Her followers either fled, or were reduced to Hollows... Leaving Maiden Thorolund all alone. Not a bad tip, huh? A nubile cleric would be replete with humanity..."
200021,Lautrec,Talk-After buying the tip,"Hm? That tip I gave you? Ahh, I heard it from a fleeing old man. That poor bastard! All his robes and trinkets won't help him now! Kwah hah hah hah hah!"
200022,Lautrec,Upon being attacked-1st time,"Well, what have we here?"
200023,Lautrec,Upon being attacked-2nd time,Keh keh keh. Are you sure about this?
200024,Lautrec,Upon being attacked & made hostile after freeing Lautrec from his cell,"You leave me no choice. But if this is our fate, so be it!"
200025,Lautrec,Upon being attacked & made hostile,"You leave me no choice. I was once grateful to you, But if this is our fate, so be it!"
200026,Lautrec,Upon dying,You despicable... ...Curses...How could I...
200027,Lautrec,After using Black Eye Orb to invade him and approaching him-1st time,"Well, look at you. I thought you were wiser, but I thought wrong! Tis a terrible pity. Like a moth flittering towards a flame. You fellows? No? Don't you agree?"
200028,Lautrec,After using Black Eye Orb to invade him and approaching him-2nd time,"So, here we go again! How many times will these lambs rush to slaughter? Well, let's get it over with."
210001,Logan,Talk-1st time,"Mm, you seem quite lucid! A rare thing in these times. I am Logan. I'm a bit cooped up, as you can see. I have a bright idea. Suppose you set me free? I'm old and empty-handed, but I could repay you with knowledge, and sorcery. This place is melting my mind. The inactivity is repressive!"
210002,Logan,"Talk-2nd time, after opening his cage using the Cage Key","Oh, heavens, thank you. I'm saved. And, I'd love to resume my travels, but I must log a few things first, and I owe you a favour. I will return to Firelink Shrine. Speak with me there, so that I may impart my sorcery."
210003,Logan,Talk-3rd time,"Oh, hello. Don't mind me. Go on ahead. I'll be along later. Phoo-hah-hah, I'll be just fine, young one."
210004,Logan,Talk-1st time with less than 15 Intelligence,"Hello there. I was expecting you. As promised, I will share my sorceries. ... I am afraid that you are unable to learn sorcery. The basic framework, you see. It cannot be taught. Oh, do not fret. Life isn't all about sorcery. You will find your own way. Don't frown with regret; peer forward with your head high."
210005,Logan,Talk-2nd time with less than 15 Intelligence,Hello there. Glad to see you alive.
210006,Logan,Talk-2nd time with 15 Intelligence or more after previously not enough,Hello there. Glad to see you alive. Hmm... It seems you've come quite a way... Excellent. You are certainly ready. I shall teach you sorceries.
210007,Logan,Talk-With 15 Intelligence or more-1st time,"There you are. I was expecting you. As promised, I will share my sorceries."
210008,Logan,Talk-With 15 Intelligence or more-2nd time,Hello there. You really are very diligent. I quite understand. Study is invigorating!
210009,Logan,Talk-With 15 Intelligence or more-3rd time,Hello there. Very well indeed. I'm pleased to share my sorceries.
210010,Logan,Talk-With 15 Intelligence or more-4th time,"Hello there. What have you been up to? I thought that perhaps you'd gone Hollow on me. So, have you come to further your study of sorcery?"
210011,Logan,"Menu-Choose ""Leave""-1st time without purchasing something","No results, eh... Well, the way of sorceries is a long, hard road. Take it slowly."
210012,Logan,"Menu-Choose ""Leave""-2nd time without purchasing something",Farewell.
210013,Logan,"Menu-Choose ""Leave"" after purchasing something",I will stay here for the time being. Speak to me again to further your knowledge.
210014,Logan,"Menu-Choose ""Leave"" after attaining the Lordvessel","Heading out, are you? I, too, will leave soon. Undead or no, I shan't stay here forever. ...You have great potential. Don't go and die over nothing."
210015,Logan,Talk-Before opening his cell with the Archive Tower Giant Cell Key,"Hello again! What a chance meeting this is! Alas, I'm imprisoned once again. I don't suppose you could stage me a getaway? The Archives, such a storehouse of knowledge. So close, but just out of reach! The thought offends me so, I could simply die! As a student of the arts, you understand me, yes?"
210016,Logan,Talk-1st time after opening his cell with the Archive Tower Giant Cell Key,"Oh, thank you very much. I'm saved. That makes twice. I must be sure to repay you. I will visit the Archives. If I discover any new spells, I shall share them with you. Prepare to be impressed, by the onward march of sorcery!"
210017,Logan,Talk-2nd time after opening his cell with the Archive Tower Giant Cell Key,Hello. Don't mind me. Go on ahead. I'll head out soon. I wish to lay down my plans before I visit the Archives.
210018,Logan,Talk-1st time,"Hello there. I was expecting you. This place is truly magnificent, more than expected, even. As promised, I shall share the new sorceries with you. And, the secret of Seath's immortality."
210019,Logan,Talk-2nd time,"Hello there. You really are very diligent. Oh, I understand. We are in the midst of a revolution!"
210020,Logan,Talk-After resting at a Bonfire,"Oh, hello there. Where have you been? Time is a resource. Let's delve in promptly."
210021,Logan,"Menu-Choose ""Talk"" 1st time","Ah, the secret of Seath's immortality? If you have fought him, and were imprisoned, you must know that Seath is a true Undead, different from ourselves. His wounds close promptly, and no mortal blow affects him, granting true insulation from death. It is an effect of the Primordial Crystal, a sacred treasure pillaged by Seath when he turned upon the ancient dragons. So, only by destroying the Primordial Crystal can you so much as scratch his hide. And it so happens, the Primordial Crystal is in the inner garden of these very archives, the Crystal Forest."
210022,Logan,"Menu-Choose ""Talk"" 2nd time","The tomes stored in these Archives are truly magnificent. A great pool of knowledge, the fruits of superior wisdom and an unquenchable desire for the truth. Some would say Seath had an unsound fixation ...But his work is a beautiful, invaluable resource. All progress demands sacrifice. And I certainly bear no antipathy for that wonderful scaleless beast."
210023,Logan,Talk-After defeating Seath the Scaleless,"Oh, there you are, it has been a while. Or, were you just here? This fascinating place defeats my sense of time..."
210024,Logan,"Menu-Choose ""Talk"" after defeating Seath",Mm...mm... Mm...mm...
210025,Logan,"Menu-Choose ""Talk"" after purchasing all of his spells & defeating Seath",...Who are you... ...Stay clear...stay clear of my work... ...Curses upon you! ...How dare you disturb me!
210026,Logan,"Menu-Choose ""Leave"" without purchasing something",Farewell.
210027,Logan,"Menu-Choose ""Leave""-1st time after purchasing something","Come again. The knowledge here is limitless. I will absorb it, then share it with you."
210028,Logan,"Menu-Choose ""Leave""-2nd time after purchasing something","Come again, any time you please. For I too, learn, whilst teaching a student."
210029,Logan,Upon being attacked & made hostile,"I fail to see your design, but if you think I'm too old to defend myself, perhaps some sorcery will change your mind!"
210030,Logan,Upon dying,Heavens...the folly of youth... ...I'm too old for this...
220001,Nest,After appraching their location for the 1st time,"You, you. Give me, warm. Give me, soft."
220002,Nest,After appraching their location for the 2nd time,You! You! Give me! Warm! Give me! Soft!
220003,Nest,After dropping a non-exchangeable item,"No, no. That, no. That no warm. That no soft."
220004,Nest,After dropping a previously exchanged item,"No, no. Not that one. Enough, enough."
230001,Nico,Talk-1st time,Mnnn?
230002,Nico,"Talk-2rd time, after resting at a Bonfire",(No caption) What if I was there? Well...but I'm not sure...
230003,Nico,Talk-After talking with Petrus and exhausting his dialogue,(No caption) There will has a way home? Well what's happend?
230004,Nico,Upon being attacked,(No caption) Whatever is now on...
230005,Nico,Upon being attacked & made hostile,(No caption) You will come with us fool? But I'll move...
230006,Nico,Upon dying,Mnnn...
240001,Oscar,Talk-1st time,"...Oh, you... You're no Hollow, eh? ...Thank goodness... ...I'm done for, I'm afraid... ...I'll die soon, then lose my sanity... ...I wish to ask something of you... ...You and I, we're both Undead... Hear me out, will you?"
240002,Oscar,"Choose ""No"" to the query","...Yes, I see... ...Perhaps I was too hopeful... ...Hah hah... ...Please, leave me be... ...I have not long to live, and I may harm you after death. ...Now, go..."
240003,Oscar,"Choose ""Yes"" to the query","...Regrettably, I have failed in my mission... ...But perhaps you can keep the torch lit... ...There is an old saying in my family... ...Thou who art Undead, art chosen... ...In thine exodus from the Undead Asylum, maketh pilgrimage to the land of Ancient Lords... ...When thou ringeth the Bell of Awakening, the fate of the Undead thou shalt know. ...Well, now you know...And I can die with hope in my heart... ...Oh, one more thing...Here, take this. ...An Estus Flask, an Undead favourite. ...Oh, and this... ...Now I must bid farewell... ...I would hate to harm you after death...So, go now... ...And thank you..."
240004,Oscar,Upon dying,Hrggkt... But...why...
250001,Oswald,Talk-1st time,"Greetings. I am Oswald of Carim, the pardoner. Thou appearest to lack faith, yet magnanimous are the Gods. Cometh thou to confess? Or to accuse? For indeed all sin is my domain."
250002,Oswald,Talk-1st time as a member of the Way of White Covenant,"Greetings. I am Oswald of Carim, the pardoner. Thou art a friend. For thee, a warm welcome. Cometh thou to confess? Or to accuse? For indeed all sin is my domain."
250003,Oswald,Talk-2nd time,"Greetings, and welcome back. I am pleased to see thee preserving thine humanity."
250004,Oswald,Talk-3rd time,"Greetings, and a pleasure to see thee again. Art thou in need of mine assistance? Do not be bashful."
250005,Oswald,Talk-4th time,"Good tidings, thou art welcome. Laudable is thy dedication to sin."
250006,Oswald,Talk-5th time,Hmm... Hast thou acquaintance with Petrus of Thorolund? I wager you two hath likely found much in common. For is he not too drenched in sin... Heh heh heh heh...
250007,Oswald,Talk-1st time while Hollow,"Greetings. Just in time, art thee not?"
250008,Oswald,Talk-2nd time while Hollow,"Greetings. Well, I did'st not expect to find thee Hollow."
250009,Oswald,"Menu-Choose ""Leave"" without purchasing something",Thou art welcome anytime. It is only human to commit a sin... Heh heh heh heh...
250010,Oswald,"Menu-Choose ""Leave"" after purchasing Indictments",Stocking up on Indictments? How honourable of you. Heh heh heh heh...
250011,Oswald,"Menu-Choose ""Leave"" after confessing","If thou commiteth a crime, bring thyself back here. There is no misdoing that I cannot undo! Keh heh heh heh..."
250012,Oswald,Upon being attacked-1st time,Ooph!
250013,Oswald,Upon being attacked-2nd time,Hrgt!
250014,Oswald,Upon being attacked-3rd time,Arg!
250015,Oswald,Upon being attacked-4th time,Oog!
250016,Oswald,Upon being attacked-5th time,By the Lords!
250017,Oswald,Upon being attacked & made hostile,"Thou hast made thyself clear. And thou leaveth me no choice. I shall accept thy next confession, in the hereafter!"
250018,Oswald,Upon killing the protagonist,"Much trouble hast thou caus'd. Thou was weak in spirit, broken by the weight of thy sin."
250019,Oswald,Upon dying,Thou shalt regret this... Fear thine indelible wrongdoings...
260001,Palespider,"Talk, or Menu-Choose ""Talk""-without the Old Witch's Ring equipped",...?
260002,Palespider,Talk-1st time with the Old Witch's Ring equipped,Quelaag? My dear sister.
260003,Palespider,Talk-2nd time with the Old Witch's Ring equipped,"Quelaag, what is it?"
260004,Palespider,Talk-3rd time with the Old Witch's Ring equipped,"Oh, my dear sister. Don't mind me. It does not hurt terribly."
260005,Palespider,"Menu-Choose ""Talk"" 1st time with the Old Witch's Ring equipped","Quelaag, my dear sister... The eggs...it hurts. They've gone still... I am afraid...it may be too late... ...I am so sorry, dear sister..."
260006,Palespider,"Menu-Choose ""Talk"" 2nd time with the Old Witch's Ring equipped","I'll be fine, I have you, dear sister. But promise me... That you will take care of yourself."
260007,Palespider,"Menu-Choose ""Enter Covenant""",Enter a Covenant? Again? Of course. Let me try...
260008,Palespider,After deepening Covenant allegiance 1st time,"...Ooh! Thank you, Quelaag."
260009,Palespider,After deepening Covenant allegiance 2nd time,Ahh... Thank you...Dear sister...
260010,Palespider,"Menu-Choose ""Talk"" after gaining Chaos Servant Covenant rank 1","Quelaag, my dear sister... You know, I still remember... Your beautiful, silky face... If only I could gaze upon it once more..."
260011,Palespider,"Menu-Choose ""Talk"" after deepening Covenant allegiance 1st time","Quelaag? Please, sister, do not cry. I am happy, really. I have you, don't I?"
260012,Palespider,"Menu-Choose ""Leave"" with the Old Witch's Ring equipped","Good-bye, Quelaag. It was so very nice to chat."
260013,Palespider,"Menu-Choose ""Leave"" with the Old Witch's Ring equipped","Good-bye, Quelaag. Do be safe."
260014,Palespider,After leaving abruptly with the Old Witch's Ring equipped,"Why, Quelaag! Where..."
260015,Palespider,Talk-After leaving abruptly with the Old Witch's Ring equipped,"Quelaag, what was that? Is something troubling you?"
260016,Palespider,"Upon being attacked, with the Old Witch's Ring equipped-1st time",Ah...
260017,Palespider,"Upon being attacked, with the Old Witch's Ring equipped-2nd time",Ahh!
260018,Palespider,"Upon being attacked, with the Old Witch's Ring equipped-3rd time",Eek!
260019,Palespider,"Upon dying, with the Old Witch's Ring equipped","Quelaag... But, why...?"
270001,Patches,Talk-Meeting before he has activated the rotating bridge trap,Good day! You look reasonably sane! What are you doing in the Catacombs? Are you a cleric or something?
270002,Patches,"After choosing ""No"" to being a cleric","No? Well, that's strange. Ohhh, I know what it is. You've come for the trinkets, haven't you? Well, whatever it is... This place is treacherous. Do watch your step. Heh heh heh..."
270003,Patches,"After choosing ""Yes"" to being a cleric","Yes, I imagined as much. Best of luck with your pilgrimages or missions or whatever you do. This place is treacherous. Do watch your step, eh? Heh heh heh..."
270004,Patches,"Talk-After choosing ""Yes"" to being a cleric","Yeah? What is it now? Enough with the chit-chat. In a place like this, we need to stay on our toes."
270005,Patches,"Talk-1st time, after he activated the rotating bridge trap, but before meeting","Ah, oh! Well, well, how are you, then? I, uh, sort of lost my way, yes... But when I came here, I didn't touch any levers, no, not me! Very peculiar, isn't it? Wait, did something happen to you? Hey, don't look at me like that. I'm Trusty Patches, the one-and-only! Here, everything's good with us, eh? Aww, c'mon, take it! Heh heh. We'll be wonderful friends. Heh heh heh..."
270006,Patches,"Talk-2nd time, after he activated the rotating bridge trap, but before meeting","Oh, does it really matter that much? C'mon, now. What exactly do you think I did? You're not making sense, my friend. Heh heh heh..."
270007,Patches,"Talk-1st time, after meeting & he has activated the rotating bridge trap","Ah, oh! Well, how are you, then? ...I slipped and flipped that lever, you see... ...It didn't cause you any trouble, by chance?"
270008,Patches,"Choose ""No"" to the query","Oh, really? Yes, I see...Righty-oh! Then, everything's good, isn't it? I'm Trusty Patches, the one-and-only! You and I, just a couple of Undead outcasts, right mate? You and I, just a couple of Undead outcasts, right my darling? Heh heh heh..."
270009,Patches,"Choose ""Yes"" to the query","Are you certain?! Well, that's a fine shame. Oh, I'm truly sorry, really! But, wait now, you didn't actually fall down, then? Well, why didn't you tell me sooner! All's well that ends well! Everybody makes mistakes. I'm not above it all, I swear! I'm Trusty Patches, the one-and-only! I know! This should make up for it. We're on the same side! Undead outcasts! Fantastic, isn't it? Heh heh heh..."
270010,Patches,"Talk-2nd time after choosing Yes"" to the query","Oh, will you come off it, now! You're fine and well, so what's the difference! Nobody likes a crybaby, you know? Heh heh heh..."
270011,Patches,Talk-1st time without previously speaking in the Catacombs,Good day! You look reasonably sane! What are you doing in the Catacombs? Are you a cleric or something?
270012,Patches,"After choosing ""No"" to being a cleric","No? Really? Then I'd have no qualms telling you, there's a fine stash of treasure right down that hole. I found it first, but... well, we're friends now, so I'll split it with you! In any case, have a look, it'll shimmer you blind! Heh heh heh..."
270013,Patches,"After choosing ""Yes"" to being a cleric","Yes, I guessed as much. Well, here's a tip. There's a stash of treasure right down that hole. I found it first, but...well, you're the cleric, right? I owe you for all that, er, praying and what not...I'll give you first pick. Well, go on, have a look. It'll shimmer you blind. Heh heh heh..."
